name,git,cloned
h-m-m,https://github.com/nadrad/h-m-m,False
ipcalc,https://github.com/kjokjo/ipcalc,False
PSSH,https://github.com/lilydjwg/pssh,False
rtop,https://github.com/rapidloop/rtop,False
geoiplookup,https://github.com/maxmind/geoip-api-c,False
quickserve,https://github.com/charliesome/quickserve,False
ack,https://github.com/beyondgrep/ack3,False
ag,https://github.com/ggreer/the_silver_searcher,False
paragrep,https://github.com/bmc/paragrep,False
sift,https://github.com/svent/sift,False
ccat,https://github.com/jingweno/ccat,False
fzf,https://github.com/junegunn/fzf,False
grc,https://github.com/pengwynn/grc,False
jq,https://github.com/stedolan/jq,False
percol,https://github.com/mooz/percol,False
pick,https://github.com/calleerlandsson/pick,False
q,https://github.com/harelba/q,False
FIGlet,https://github.com/cmatsuoka/figlet,False
toilet,https://github.com/cacalabs/toilet,False
Emacs,http://git.savannah.gnu.org/cgit/emacs.git/,False
jed,https://github.com/jedsoft/jed,False
joe,https://sourceforge.net/projects/joe-editor/,False
nano,https://git.savannah.gnu.org/cgit/nano.git/log/,False
micro,https://github.com/zyedidia/micro/,False
neovim,https://github.com/neovim/neovim,False
slap,https://github.com/slap-editor/slap,False
vai,https://github.com/stefanoborini/vai,False
vim,https://github.com/vim/vim,False
vis,https://github.com/martanne/vis,False
WordGrinder,https://github.com/davidgiven/wordgrinder,False
byobu,https://github.com/dustinkirkland/byobu,False
screen,https://git.savannah.gnu.org/cgit/screen.git,False
Tmate,https://github.com/tmate-io/tmate,False
tmux,https://github.com/tmux/tmux,False
warp,https://github.com/spolu/warp,False
bpytop,https://github.com/aristocratos/bpytop,False
cv,https://github.com/Xfennec/progress,False
glances,https://github.com/nicolargo/glances,False
GoTTY,https://github.com/yudai/gotty,False
inxi,https://github.com/smxi/inxi,False
iotop,https://repo.or.cz/w/iotop.git,False
htop,https://github.com/htop-dev/htop,False
multitail,https://github.com/folkertvanheusden/multitail,False
ngrep,https://github.com/jpr5/ngrep/,False
progress,https://github.com/Xfennec/progress,False
powertop,https://github.com/fenrus75/powertop,False
sysdig,https://github.com/draios/sysdig,False
smem,https://selenic.com/repo/smem,False
top,,False
watch,,False
wtf,https://github.com/wtfutil/wtf,False
Bash,https://git.savannah.gnu.org/cgit/bash.git,False
Fish,https://github.com/fish-shell/fish-shell,False
Zsh,https://sourceforge.net/p/zsh/code/ci/master/tree/,False
conspy,https://sourceforge.net/p/conspy/code/ci/default/tree/,False
lshw,https://ezix.org/src/pkg/lshw,False
Ntfy,https://github.com/dschep/ntfy,False
task-spooler,,False
ttyload,https://github.com/lindes/ttyload,False
hstr,https://github.com/dvorka/hstr,False
parallel,https://git.savannah.gnu.org/cgit/parallel.git,False
cipher,https://github.com/ash-shell/cipher,False
hashcat,https://github.com/hashcat/hashcat,False
encfs,https://github.com/vgough/encfs,False
LUKS,https://github.com/guardianproject/luks/wiki,False
safe.sh,https://github.com/windowsrefund/safe,False
titan,https://github.com/nrosvall/ylva,False
trino,https://github.com/eneserdogan/trino,False
Teapot,,False
sc-im,https://github.com/andmarti1424/sc-im,False
tpp,https://github.com/Kerrick/tpp,False
gcalcli,https://github.com/insanum/gcalcli,False
khal,https://github.com/pimutils/khal,False
ppl addressbook,https://github.com/henrycatalinismith/ppl,False
kb,https://github.com/gnebbia/kb,False
khard,https://github.com/lucc/khard,False
iKog,https://github.com/boyska/ikog,False
Yokadi,https://github.com/agateau/yokadi,False
Org mode,https://git.savannah.gnu.org/cgit/emacs/org-mode.git,False
pal,https://sourceforge.net/p/palcal/code/HEAD/tree/,False
Remind,https://git.skoll.ca/Skollsoft-Public/Remind,False
TaskWarrior,https://github.com/GothenburgBitFactory/taskwarrior,False
todo.txt,https://github.com/todotxt/todo.txt-cli,False
todolist,,False
TuDu,https://github.com/meskio/tudu,False
Wyrd,https://gitlab.com/wyrd-calendar/wyrd,False
arbtt,https://github.com/nomeata/arbtt,False
ledger,https://github.com/ledger/ledger,False
Qalculate,https://github.com/Qalculate/libqalculate,False
Translate Shell,https://github.com/soimort/translate-shell,False
cacaview,https://github.com/cacalabs/libcaca,False
glow,https://github.com/charmbracelet/glow,False
feh,https://git.finalrewind.org/feh,False
Terminal Markdown Viewer,https://github.com/axiros/terminal_markdown_viewer,False
mplayer,,False
mpv,https://github.com/mpv-player/mpv/,False
ncmpcpp,https://github.com/ncmpcpp/ncmpcpp,False
espeak,https://sourceforge.net/p/espeak/code/HEAD/tree/,False
Alsamixer,https://github.com/alsa-project,False
cmus,https://github.com/cmus/cmus,False
MOC,,False
mpg123,https://sourceforge.net/projects/mpg123/,False
mps-youtube,https://github.com/mps-youtube/mps-youtube,False
ogg123,https://gitlab.xiph.org/xiph,False
ImageMagick,https://github.com/ImageMagick/ImageMagick,False
scrot,https://github.com/dreamer/scrot,False
git,https://github.com/git/git,False
git-annex,http://source.git-annex.branchable.com/?p=source.git,False
git-stats,https://github.com/IonicaBizau/git-stats,False
Mercurial,https://www.mercurial-scm.org/repo/hg,False
tig,https://github.com/jonas/tig,False
sshfs,https://github.com/libfuse/sshfs,False
TMSU,https://github.com/oniony/TMSU,False
lfm,,False
Midnight Commander,https://github.com/MidnightCommander/mc,False
ncursesFM,https://github.com/FedeDP/ncursesFM,False
ranger,https://github.com/ranger/ranger,False
vifm,https://github.com/vifm/vifm,False
catdoc,http://www.wagner.pp.ru/gitweb/?p=oss/catdoc.git,False
Pandoc,https://github.com/jgm/pandoc,False
xls2csv,http://www.wagner.pp.ru/gitweb/?p=oss/catdoc.git,False
borg,https://github.com/borgbackup,False
duplicity,https://gitlab.com/duplicity/duplicity,False
Duply,https://sourceforge.net/projects/ftplicity/,False
paperbackup,https://github.com/intra2net/paperbackup,False
rclone,https://github.com/rclone/rclone,False
Unison,https://github.com/bcpierce00/unison,False
Zaloha.sh,https://github.com/Fitus/Zaloha.sh,False
cdu,,False
dfc,https://github.com/rolinh/dfc,False
ncdu,https://code.blicky.net/yorhel/ncdu/,False
classifier,https://github.com/bhrigu123/classifier,False
detox,https://sourceforge.net/projects/detox/,False
dtrx,https://github.com/dtrx-py/dtrx,False
exa,https://github.com/ogham/exa,False
lsd,https://github.com/Peltoche/lsd,False
fasd,https://github.com/clvv/fasd,False
fd,https://github.com/sharkdp/fd,False
rename,,False
renameutils,,False
rmlint,https://github.com/sahib/rmlint/,False
gcp,https://github.com/petronny/gcp,False
nnn,https://github.com/jarun/nnn,False
PathPicker,https://github.com/facebook/pathpicker/,False
tree,https://gitlab.com/OldManProgrammer/unix-tree,False
asciicquarium,https://github.com/rgoring/asciiquarium,False
cmatrix,https://github.com/abishekvashok/cmatrix,False
cowsay,https://github.com/tnalpgge/rank-amateur-cowsay,False
cowthink,https://github.com/tnalpgge/rank-amateur-cowsay,False
fortune,https://github.com/bmc/fortune,False
Steam Locomotive,https://github.com/mtoyoda/sl,False
ternimal,https://github.com/p-e-w/ternimal,False
StarWars vision,,False
bastet,https://github.com/fph/bastet/,False
Cataclysm: Dark Days Ahead,https://github.com/CleverRaven/Cataclysm-DDA,False
Dwarf fortress,,False
freesweep,,False
Nethack,https://github.com/NetHack/NetHack,False
Oldrunner,https://github.com/culot/oldrunner,False
Slash'EM,https://sourceforge.net/projects/slashem/,False
Typespeed,https://sourceforge.net/projects/typespeed/,False
Hugo,https://github.com/gohugoio/hugo,False
Metalsmith,https://github.com/metalsmith/metalsmith,False
nanoc,https://github.com/nanoc/nanoc,False
siege,https://github.com/JoeDog/siege,False
Tsung,https://github.com/processone/tsung,False
Links,,False
Elinks,https://repo.or.cz/w/elinks.git,False
Lynx,,False
w3m,https://sourceforge.net/projects/w3m/,False
Newsbeuter,,False
alpine,,False
alot,https://github.com/pazz/alot,False
mbsync,,False
Mutt,https://gitlab.com/muttmua/mutt,False
sup,https://github.com/sup-heliotrope/sup,False
aria2,https://github.com/aria2/aria2,False
croc,https://github.com/schollz/croc,False
curl,https://github.com/curl/curl,False
Deluge,https://git.deluge-torrent.org/deluge,False
lftp,https://github.com/lavv17/lftp,False
Magic Wormhole,https://github.com/warner/magic-wormhole,False
OnionShare,https://github.com/onionshare/onionshare,False
qrcp,https://github.com/claudiodangelis/qrcp,False
rsync,https://github.com/WayneD/rsync,False
sitecopy,,False
stftp,https://sourceforge.net/projects/stftp/,False
Woof,https://github.com/simon-budig/woof/,False
youtube-dl,http://rg3.github.io/youtube-dl/,False
finch,,False
irssi,https://github.com/irssi/irssi,False
RainbowStream,,False
WeeChat,https://github.com/weechat/weechat,False
ssh-chat,https://github.com/shazow/ssh-chat,False
goobook,https://gitlab.com/goobook/goobook,False
dasht,https://github.com/sunaku/dasht,False
arch-wiki,https://github.com/deadhead420/arch-wiki,False
googler,https://github.com/jarun/googler,False
lolcat,https://github.com/busyloop/lolcat,False
neofetch,https://github.com/dylanaraps/neofetch,False
pdd,https://github.com/jarun/pdd,False
powerline,https://github.com/powerline/powerline,False
socli,https://github.com/gautamkrishnar/socli,False
termsaver,,False
dateutils,https://github.com/hroptatyr/dateutils,False
VisiData,https://github.com/saulpw/visidata,False
csvkit,https://github.com/wireservice/csvkit,False
gdb-dashboard,https://github.com/cyrus-and/gdb-dashboard,False
hide,https://github.com/whatl3y/hide,False
gopass,https://github.com/gopasspw/gopass,False
pass,https://git.zx2c4.com/password-store/,False
dpg,https://github.com/62726164/dpg,False
yt-splitter,https://github.com/redsolver/yt-splitter,False
bupstash,https://github.com/andrewchambers/bupstash,False
zoxide,https://github.com/ajeetdsouza/zoxide,False
TerminalImageViewer,https://github.com/stefanhaustein/TerminalImageViewer,False
whowatch,,False
dijo,https://github.com/NerdyPepper/dijo,False
cadmus,https://github.com/RyanGreenup/cadmus,False
twf,https://github.com/wvanlint/twf,False
delta,https://github.com/dandavison/delta,False
chafa,https://github.com/hpjansson/chafa,False
youtube-viewer,https://github.com/trizen/youtube-viewer,False
posce,https://github.com/posce/posce,False
dutree,https://github.com/nachoparker/dutree,False
ydiff,https://github.com/ymattw/ydiff,False
kpcli,https://sourceforge.net/projects/kpcli/,False
GNU Recutils,,False
terminal_board_games,https://github.com/salt-die/terminally_bored_terminal_board_games,False
minesweeper,https://github.com/gazpachoking/minesweeper,False
Terminal Phase,https://gitlab.com/dustyweb/terminal-phase,False
broot,https://github.com/Canop/broot,False
Nota,https://github.com/pouyakary/Nota,False
vy,https://github.com/vyapp/vy,False
pire,https://github.com/johannestaas/pire,False
Graphene,https://github.com/atsepkov/Graphene,False
navi,https://github.com/denisidoro/navi,False
TSV Utilities,https://github.com/eBay/tsv-utils,False
pastel,https://github.com/sharkdp/pastel,False
asciinema,https://github.com/asciinema/asciinema,False
alder,https://github.com/aweary/alder,False
diff-so-fancy,https://github.com/so-fancy/diff-so-fancy,False
ripgrep-all,https://github.com/phiresky/ripgrep-all,False
ripgrep,https://github.com/BurntSushi/ripgrep,False
pmenu,https://github.com/sgtpep/pmenu,False
eon,https://github.com/tomas/eon,False
datadash,https://github.com/keithknott26/datadash,False
Mp3blaster,https://sourceforge.net/projects/mp3blaster/,False
jqview,https://github.com/fiatjaf/jqview,False
ytmdl,https://github.com/deepjyoti30/ytmdl,False
sha256-animation,https://github.com/in3rsha/sha256-animation,False
cli-arxiv,https://github.com/knguyenanhoa/cli-arxiv,False
mdBook,https://github.com/rust-lang/mdBook,False
SpicyPass,https://github.com/JFreegman/SpicyPass,False
jc,https://github.com/kellyjonbrazil/jc,False
muCLIar,https://github.com/aayush1205/muCLIar,False
translate-shell,https://github.com/soimort/translate-shell,False
wikit,https://github.com/KorySchneider/wikit,False
mitmproxy,https://github.com/mitmproxy/mitmproxy,False
yt-audio,https://github.com/pseudoroot/yt-audio,False
Language-games,https://github.com/Hellisotherpeople/Language-games,False
xsv,,False
bandwhich,https://github.com/imsnif/bandwhich,False
dmidecode,http://git.savannah.gnu.org/cgit/dmidecode.git/,False
forgit,https://github.com/wfxr/forgit,False
scholarref,https://src.adamsgaard.dk/scholarref/,False
crappybird-py,https://github.com/JonPizza/crappybird-py,False
conrad,https://github.com/vinayak-mehta/conrad,False
dn,https://github.com/tomlockwood/dn,False
onefetch,https://github.com/o2sh/onefetch,False
jtc,https://github.com/ldn-softdev/jtc,False
NeoMutt,https://github.com/neomutt/neomutt,False
kmdr-cli,https://github.com/ediardo/kmdr-cli#supported-programs,False
Starship,https://github.com/starship/starship,False
todotxt-machine,https://github.com/AnthonyDiGirolamo/todotxt-machine,False
usolitaire,https://github.com/eliasdorneles/usolitaire,False
rnr,https://github.com/bugnano/rnr,False
cbonsai,https://gitlab.com/jallbrit/cbonsai,False
Dolt,https://github.com/dolthub/dolt,False
ytfzf,https://github.com/pystardust/ytfzf,False
Graphtage,https://github.com/trailofbits/graphtage,False
duf,https://github.com/muesli/duf,False
tuxi,https://github.com/Bugswriter/tuxi,False
Siren,https://www.kariliq.nl/git/siren/,False
Ticker,https://github.com/achannarasappa/ticker,False
xh,https://github.com/ducaale/xh,False
git-peek,https://github.com/Jarred-Sumner/git-peek,False
vizex,https://github.com/bexxmodd/vizex,False
gdu,https://github.com/dundee/gdu,False
kord,https://github.com/synestematic/kord,False
imgcat,https://github.com/trashhalo/imgcat,False
bib.awk,https://github.com/huijunchen9260/bib.awk,False
rr,https://github.com/rr-debugger/rr,False
nbterm,https://github.com/davidbrochart/nbterm,False
qr-filetransfer,https://github.com/sdushantha/qr-filetransfer,False
element,https://github.com/gennaro-tedesco/element,False
termv,https://github.com/Roshan-R/termv,False
rofi,https://github.com/davatorium/rofi,False
F2,https://github.com/ayoisaiah/f2,False
grit,https://github.com/climech/grit,False
dstask,https://github.com/naggie/dstask,False
wutag,https://github.com/wojciechkepka/wutag,False
xplr,https://github.com/sayanarijit/xplr,False
eg,https://github.com/srsudar/eg,False
mdt,https://github.com/robolab-pavia/mdt,False
buku,https://github.com/jarun/buku,False
imgp,https://github.com/jarun/imgp,False
zbackup,https://github.com/zbackup/zbackup,False
Transmission,https://github.com/transmission/transmission,False
rtorrent,https://github.com/rakshasa/rtorrent,False
dtach,https://github.com/crigler/dtach,False
vidir,https://github.com/trapd00r/vidir,False
Firejail,https://github.com/netblue30/firejail,False
Kakoune,https://github.com/mawww/kakoune,False
ddgr,https://github.com/jarun/ddgr,False
chs,https://github.com/nickzuber/chs,False
clifm,https://github.com/leo-arch/clifm,False
nmail,https://github.com/d99kris/nmail,False
matterhorn,https://github.com/matterhorn-chat/matterhorn,False
calcurse,https://git.calcurse.org/calcurse.git/,False
castero,https://github.com/xgi/castero,False
GnuPG,https://dev.gnupg.org/source/gnupg/repository/master/,False
tiny,https://github.com/osa1/tiny,False
Standard Unix Notes,https://github.com/Standard-Unix-Notes/unix-notes,False
below,https://github.com/facebookincubator/below,False
lfs,https://github.com/Canop/lfs,False
ain,https://github.com/jonaslu/ain,False
BaFi,https://github.com/mmalcek/bafi,False
hck,https://github.com/sstadick/hck,False
gitui,https://github.com/extrawurst/gitui,False
rpg-cli,https://github.com/facundoolano/rpg-cli,False
dua,https://github.com/Byron/dua-cli,False
jnrl,https://github.com/maebert/jrnl,False
tabview,https://github.com/TabViewer/tabview,False
Bazaar,,False
grv,https://github.com/rgburke/grv,False
fossil,https://github.com/drhsqlite/fossil-mirror,False
Diakonos,https://github.com/Pistos/diakonos,False
yank,https://github.com/mptre/yank,False
mtm,https://github.com/deadpixi/mtm,False
sd,https://github.com/chmln/sd,False
Watson,https://github.com/TailorDev/Watson,False
WOPR,https://github.com/yaronn/wopr,False
Angband,https://github.com/angband/angband,False
grex,https://github.com/pemistahl/grex,False
Amfora,https://github.com/makeworld-the-better-one/amfora,False
Bombadillo,https://tildegit.org/sloum/Bombadillo,False
pycp,https://github.com/dmerejkowsky/pycp,False
bcal,https://github.com/jarun/bcal,False
cpass,https://github.com/OliverLew/cpass,False
Dust,https://github.com/bootandy/dust,False
ash,https://github.com/akashnag/ash,False
gee,https://github.com/human37/gee,False
cobib,https://gitlab.com/mrossinek/cobib,False
doppelganger,https://github.com/witchard/doppelganger,False
screenFetch,https://github.com/KittyKatt/screenFetch,False
inklayers,https://github.com/toolleeo/inklayers,False
pvcheck,https://github.com/claudio-unipv/pvcheck,False
Jmp,https://github.com/gholmes829/Jmp,False
llama,https://github.com/antonmedv/llama,False
Gitea,https://github.com/go-gitea/gitea,False
Soft Serve,https://github.com/charmbracelet/soft-serve,False
deadlink,https://github.com/nschloe/deadlink,False
SmartCd,https://github.com/CodesOfRishi/smartcd,False
mx,https://gitlab.com/lpireyn/mx,False
Bartib,https://github.com/nikolassv/bartib,False
gdir,https://github.com/pafoster/gdir,False
Mycorrhiza Wiki,https://github.com/bouncepaw/mycorrhiza,False
ov,https://github.com/noborus/ov,False
fastmod,https://github.com/facebookincubator/fastmod,False
watchexec,https://github.com/watchexec/watchexec,False
yq,https://github.com/mikefarah/yq,False
squeeze,https://github.com/aymericbeaumet/squeeze,False
amber,https://github.com/dalance/amber,False
mmv,https://github.com/itchyny/mmv,False
linkchecker,https://github.com/linkchecker/linkchecker,False
brok,https://github.com/smallhadroncollider/brok,False
chars,https://github.com/antifuchs/chars,False
diskus,https://github.com/sharkdp/diskus,False
dtool,https://github.com/guoxbin/dtool,False
viu,https://github.com/learn-anything/command-line-tools,False
tealdeer,https://github.com/dbrgn/tealdeer,False
xcp,https://github.com/tarka/xcp,False
pazi,https://github.com/euank/pazi,False
hunter,https://github.com/rabite0/hunter,False
ytop,https://github.com/cjbassi/ytop,False
noti,https://github.com/variadico/noti,False
cowyo,https://github.com/schollz/cowyo,False
docker,https://github.com/docker/docs,False
friendly-find,https://github.com/sjl/friendly-find,False
fzy,https://github.com/jhawthorn/fzy,False
GraphicsMagick,https://sourceforge.net/projects/graphicsmagick/,False
hexyl,https://github.com/sharkdp/hexyl,False
temci,https://github.com/parttimenerd/temci,False
just,https://github.com/casey/just,False
license-up,https://github.com/nikitavoloboev/license-up,False
mackup,https://github.com/lra/mackup,False
massren,https://github.com/laurent22/massren,False
scons,https://github.com/SCons/scons,False
skim,https://github.com/lotabout/skim,False
snallygaster,https://github.com/hannob/snallygaster,False
svgcleaner,https://github.com/RazrFalcon/svgcleaner,False
wifi-password,https://github.com/rauchg/wifi-password,False
habitctl,https://github.com/blinry/habitctl,False
kickstart,https://github.com/Keats/kickstart,False
nomino,https://github.com/yaa110/nomino,False
luneta,https://github.com/fbeline/luneta,False
jiq,https://github.com/fiatjaf/jiq,False
sad,https://github.com/ms-jpq/sad,False
wfh,https://github.com/kzys/wfh,False
teip,https://github.com/greymd/teip,False
espanso,https://github.com/federico-terzi/espanso,False
huniq,https://github.com/koraa/huniq,False
nat,https://github.com/willdoescode/nat,False
csvq,https://github.com/mithrandie/csvq,False
FClones,https://github.com/pkolaczk/fclones,False
dasel,https://github.com/TomWright/dasel,False
Proji,https://github.com/nikoksr/proji,False
pbgopy,https://github.com/nakabonne/pbgopy,False
gnuplot,https://github.com/idank/explainshell,False
conan,https://github.com/mirage/conan,False
Difftastic,https://github.com/Wilfred/difftastic,False
Gaze,https://github.com/wtetsu/gaze,False
todocheck,https://github.com/preslavmihaylov/todocheck,False
s,https://github.com/zquestz/s,False
anew,https://github.com/tomnomnom/anew,False
TV,https://github.com/alexhallam/tv,False
hors,https://github.com/WindSoilder/hors,False
Viddy,https://github.com/sachaos/viddy,False
kalk,https://github.com/PaddiM8/kalk,False
so,https://github.com/samtay/so,False
sq,https://github.com/neilotoole/sq,False
rip,https://github.com/nivekuil/rip,False
vgrep,https://github.com/vrothberg/vgrep,False
urlhunter,https://github.com/utkusen/urlhunter,False
lychee,https://github.com/lycheeverse/lychee,False
Rustcat,https://github.com/robiot/rustcat,False
ponysay,https://github.com/erkin/ponysay,False
yosay,https://github.com/yeoman/yosay,False
cli-mandelbrot,https://github.com/danyshaanan/cli-mandelbrot,False
cli-fireplace,https://github.com/dolsup/cli-fireplace,False
givegif,https://github.com/passy/givegif,False
git-extras,https://github.com/tj/git-extras,False
Gistup,https://github.com/mbostock/gistup,False
ll,https://github.com/antonmedv/ll,False
fx,https://github.com/antonmedv/fx,False
speedtest-net,https://github.com/ddsol/speedtest.net,False
shallow-backup,https://github.com/alichtman/shallow-backup,False
mdp,https://github.com/visit1985/mdp,False
sent,https://git.suckless.org/sent/log.html,False
eureka,https://github.com/simeg/eureka,False
taskell,https://github.com/smallhadroncollider/taskell,False
taskbook,https://github.com/klaussinani/taskbook,False
papis,https://github.com/alejandrogallo/papis,False
tuir,https://gitlab.com/ajak/tuir,False
xxh,https://github.com/xxh/xxh,False
browsh,https://github.com/browsh-org/browsh,False
jless,https://github.com/PaulJuliusMartinez/jless,False
